Forward: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-7.035E-005,2.280E-005,-3.302E-005,1.951E-010,-9.988E-010,-3.303E-005
-7.033E-005,2.279E-005,-3.306E-005,1.955E-010,-9.984E-010,-3.306E-005
-7.031E-005,2.280E-005,-3.310E-005,1.959E-010,-9.979E-010,-3.310E-005
-7.029E-005,2.280E-005,-3.314E-005,1.964E-010,-9.975E-010,-3.314E-005
-7.036E-005,2.286E-005,-3.295E-005,1.952E-010,-1.001E-009,-3.295E-005
-7.035E-005,2.285E-005,-3.299E-005,1.956E-010,-1.001E-009,-3.299E-005
-7.033E-005,2.286E-005,-3.303E-005,1.960E-010,-1.001E-009,-3.303E-005
-7.031E-005,2.285E-005,-3.306E-005,1.965E-010,-1.000E-009,-3.306E-005
-7.029E-005,2.286E-005,-3.310E-005,1.969E-010,-9.996E-010,-3.310E-005
-7.036E-005,2.291E-005,-3.291E-005,1.956E-010,-1.004E-009,-3.291E-005
-7.034E-005,2.291E-005,-3.295E-005,1.961E-010,-1.003E-009,-3.295E-005
-7.033E-005,2.291E-005,-3.299E-005,1.966E-010,-1.003E-009,-3.299E-005
-7.031E-005,2.291E-005,-3.303E-005,1.970E-010,-1.002E-009,-3.303E-005
-7.029E-005,2.291E-005,-3.307E-005,1.974E-010,-1.002E-009,-3.307E-005
-7.036E-005,2.297E-005,-3.287E-005,1.961E-010,-1.006E-009,-3.287E-005
-7.034E-005,2.297E-005,-3.291E-005,1.966E-010,-1.005E-009,-3.291E-005
-7.033E-005,2.297E-005,-3.295E-005,1.970E-010,-1.005E-009,-3.295E-005
-7.031E-005,2.297E-005,-3.299E-005,1.974E-010,-1.004E-009,-3.299E-005
-7.029E-005,2.297E-005,-3.303E-005,1.979E-010,-1.004E-009,-3.303E-005
-7.036E-005,2.303E-005,-3.283E-005,1.966E-010,-1.008E-009,-3.283E-005
-7.034E-005,2.303E-005,-3.287E-005,1.971E-010,-1.007E-009,-3.287E-005
-7.032E-005,2.303E-005,-3.291E-005,1.976E-010,-1.007E-009,-3.291E-005
-7.031E-005,2.303E-005,-3.295E-005,1.980E-010,-1.006E-009,-3.295E-005
-7.029E-005,2.303E-005,-3.299E-005,1.984E-010,-1.006E-009,-3.299E-005
-7.036E-005,2.308E-005,-3.280E-005,1.971E-010,-1.010E-009,-3.280E-005
-7.034E-005,2.308E-005,-3.284E-005,1.976E-010,-1.010E-009,-3.283E-005
-7.032E-005,2.308E-005,-3.287E-005,1.980E-010,-1.009E-009,-3.287E-005
-7.030E-005,2.308E-005,-3.291E-005,1.985E-010,-1.009E-009,-3.291E-005
-7.029E-005,2.309E-005,-3.295E-005,1.989E-010,-1.008E-009,-3.295E-005
-7.037E-005,2.280E-005,-3.298E-005,1.947E-010,-9.993E-010,-3.299E-005
-7.035E-005,2.280E-005,-3.302E-005,1.951E-010,-9.988E-010,-3.302E-005
-7.033E-005,2.280E-005,-3.306E-005,1.955E-010,-9.984E-010,-3.306E-005
-7.031E-005,2.279E-005,-3.310E-005,1.959E-010,-9.979E-010,-3.310E-005
-7.029E-005,2.279E-005,-3.314E-005,1.964E-010,-9.974E-010,-3.314E-005
-7.036E-005,2.285E-005,-3.295E-005,1.952E-010,-1.001E-009,-3.295E-005
-7.035E-005,2.285E-005,-3.299E-005,1.956E-010,-1.001E-009,-3.299E-005
-7.033E-005,2.285E-005,-3.302E-005,1.960E-010,-1.000E-009,-3.303E-005
-7.031E-005,2.285E-005,-3.306E-005,1.964E-010,-1.000E-009,-3.306E-005
-7.029E-005,2.286E-005,-3.310E-005,1.969E-010,-9.996E-010,-3.310E-005
-7.036E-005,2.291E-005,-3.291E-005,1.957E-010,-1.004E-009,-3.291E-005
-7.034E-005,2.291E-005,-3.295E-005,1.961E-010,-1.003E-009,-3.295E-005
-7.033E-005,2.291E-005,-3.299E-005,1.965E-010,-1.003E-009,-3.299E-005
-7.031E-005,2.291E-005,-3.303E-005,1.969E-010,-1.002E-009,-3.303E-005
-7.029E-005,2.291E-005,-3.307E-005,1.974E-010,-1.002E-009,-3.306E-005
-7.036E-005,2.297E-005,-3.287E-005,1.961E-010,-1.006E-009,-3.287E-005
-7.034E-005,2.297E-005,-3.291E-005,1.966E-010,-1.005E-009,-3.291E-005
-7.033E-005,2.297E-005,-3.295E-005,1.970E-010,-1.005E-009,-3.295E-005
-7.031E-005,2.297E-005,-3.299E-005,1.975E-010,-1.004E-009,-3.299E-005
-7.029E-005,2.297E-005,-3.303E-005,1.979E-010,-1.004E-009,-3.303E-005
-7.036E-005,2.303E-005,-3.284E-005,1.966E-010,-1.008E-009,-3.283E-005
-7.034E-005,2.303E-005,-3.287E-005,1.971E-010,-1.007E-009,-3.287E-005
-7.032E-005,2.303E-005,-3.291E-005,1.975E-010,-1.007E-009,-3.291E-005
-7.031E-005,2.303E-005,-3.295E-005,1.979E-010,-1.006E-009,-3.295E-005
-7.029E-005,2.303E-005,-3.299E-005,1.984E-010,-1.006E-009,-3.299E-005
-7.036E-005,2.308E-005,-3.279E-005,1.972E-010,-1.010E-009,-3.279E-005
-7.034E-005,2.308E-005,-3.283E-005,1.976E-010,-1.010E-009,-3.283E-005
-7.032E-005,2.308E-005,-3.287E-005,1.980E-010,-1.009E-009,-3.287E-005
-7.030E-005,2.308E-005,-3.291E-005,1.984E-010,-1.009E-009,-3.291E-005
-7.029E-005,2.309E-005,-3.295E-005,1.989E-010,-1.008E-009,-3.295E-005
-7.037E-005,2.280E-005,-3.298E-005,1.946E-010,-9.993E-010,-3.299E-005
-7.035E-005,2.279E-005,-3.302E-005,1.951E-010,-9.988E-010,-3.302E-005
-7.033E-005,2.279E-005,-3.306E-005,1.955E-010,-9.984E-010,-3.307E-005
-7.031E-005,2.280E-005,-3.310E-005,1.959E-010,-9.979E-010,-3.311E-005
-7.029E-005,2.279E-005,-3.314E-005,1.963E-010,-9.975E-010,-3.314E-005
-7.036E-005,2.285E-005,-3.295E-005,1.952E-010,-1.001E-009,-3.295E-005
-7.034E-005,2.286E-005,-3.299E-005,1.956E-010,-1.001E-009,-3.299E-005
-7.033E-005,2.286E-005,-3.302E-005,1.960E-010,-1.000E-009,-3.303E-005
-7.031E-005,2.286E-005,-3.306E-005,1.965E-010,-1.000E-009,-3.306E-005
-7.029E-005,2.285E-005,-3.310E-005,1.969E-010,-9.996E-010,-3.310E-005
-7.036E-005,2.291E-005,-3.291E-005,1.956E-010,-1.004E-009,-3.291E-005
-7.034E-005,2.291E-005,-3.295E-005,1.961E-010,-1.003E-009,-3.295E-005
-7.033E-005,2.291E-005,-3.299E-005,1.965E-010,-1.003E-009,-3.299E-005
-7.031E-005,2.291E-005,-3.302E-005,1.969E-010,-1.002E-009,-3.303E-005
-7.029E-005,2.291E-005,-3.306E-005,1.974E-010,-1.002E-009,-3.307E-005
-7.036E-005,2.297E-005,-3.287E-005,1.961E-010,-1.006E-009,-3.287E-005
-7.034E-005,2.297E-005,-3.291E-005,1.966E-010,-1.005E-009,-3.291E-005
-7.032E-005,2.297E-005,-3.295E-005,1.970E-010,-1.005E-009,-3.295E-005
-7.031E-005,2.297E-005,-3.299E-005,1.974E-010,-1.004E-009,-3.299E-005
-7.029E-005,2.297E-005,-3.302E-005,1.979E-010,-1.004E-009,-3.303E-005
-7.036E-005,2.303E-005,-3.283E-005,1.966E-010,-1.008E-009,-3.283E-005
-7.034E-005,2.303E-005,-3.287E-005,1.971E-010,-1.007E-009,-3.287E-005
-7.032E-005,2.302E-005,-3.291E-005,1.975E-010,-1.007E-009,-3.291E-005
-7.030E-005,2.303E-005,-3.295E-005,1.979E-010,-1.006E-009,-3.295E-005
-7.029E-005,2.303E-005,-3.299E-005,1.984E-010,-1.006E-009,-3.299E-005
-7.036E-005,2.308E-005,-3.280E-005,1.971E-010,-1.010E-009,-3.280E-005
-7.034E-005,2.308E-005,-3.283E-005,1.976E-010,-1.010E-009,-3.283E-005
-7.032E-005,2.308E-005,-3.287E-005,1.980E-010,-1.009E-009,-3.287E-005
-7.030E-005,2.308E-005,-3.291E-005,1.984E-010,-1.009E-009,-3.291E-005
-7.029E-005,2.308E-005,-3.295E-005,1.989E-010,-1.008E-009,-3.295E-005
