Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Iterative Transformation from Normal heights to Ellipsoidal heights.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
1.024E-008,-2.980E-008,-8.650E+001,,,
9.954E-009,-2.794E-008,-8.648E+001,,,
1.019E-008,-2.887E-008,-8.646E+001,,,
9.954E-009,-2.887E-008,-8.648E+001,,,
1.013E-008,-2.980E-008,-8.644E+001,,,
9.954E-009,-3.166E-008,-8.642E+001,,,
9.895E-009,-2.608E-008,-8.636E+001,,,
1.013E-008,-2.794E-008,-8.641E+001,,,
9.837E-009,-3.166E-008,-8.646E+001,,,
9.954E-009,-3.073E-008,-8.649E+001,,,
9.954E-009,-2.980E-008,-8.652E+001,,,
2.334E-006,-6.875E-006,-2.000E+004,,,
2.334E-006,-6.873E-006,-2.000E+004,,,
2.335E-006,-6.873E-006,-2.000E+004,,,
2.334E-006,-6.869E-006,-2.000E+004,,,
2.335E-006,-6.877E-006,-2.000E+004,,,
1.042E-008,-2.794E-008,-8.794E+001,,,
1.013E-008,-3.166E-008,-8.779E+001,,,
1.007E-008,-2.887E-008,-8.766E+001,,,
1.024E-008,-2.794E-008,-8.746E+001,,,
1.013E-008,-3.073E-008,-8.735E+001,,,
1.019E-008,-2.887E-008,-8.743E+001,,,
1.042E-008,-3.073E-008,-8.734E+001,,,
1.013E-008,-2.887E-008,-8.725E+001,,,
1.030E-008,-3.166E-008,-8.715E+001,,,
1.013E-008,-2.980E-008,-8.706E+001,,,
1.013E-008,-3.073E-008,-8.688E+001,,,
1.013E-008,-2.887E-008,-8.676E+001,,,
1.007E-008,-2.980E-008,-8.664E+001,,,
9.954E-009,-2.794E-008,-8.654E+001,,,
1.013E-008,-2.980E-008,-8.650E+001,,,
1.001E-008,-3.073E-008,-8.648E+001,,,
1.007E-008,-2.794E-008,-8.646E+001,,,
1.001E-008,-3.166E-008,-8.648E+001,,,
1.013E-008,-2.980E-008,-8.644E+001,,,
9.954E-009,-3.166E-008,-8.642E+001,,,
9.954E-009,-2.608E-008,-8.636E+001,,,
1.013E-008,-2.794E-008,-8.641E+001,,,
1.001E-008,-3.166E-008,-8.646E+001,,,
9.837E-009,-3.073E-008,-8.649E+001,,,
1.030E-008,-2.980E-008,-8.652E+001,,,
