Forward: Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.
Reverse: Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
1.952E-010,-1.001E-009,-4.397E+001,,,,False,True,
1.956E-010,-1.001E-009,-4.390E+001,,,,True,True,
1.960E-010,-1.000E-009,-4.383E+001,,,,True,True,
1.964E-010,-1.000E-009,-4.373E+001,,,,True,True,
1.969E-010,-9.996E-010,-4.367E+001,,,,False,True,
1.957E-010,-1.004E-009,-4.372E+001,,,,False,True,
1.961E-010,-1.003E-009,-4.367E+001,,,,True,True,
1.965E-010,-1.003E-009,-4.363E+001,,,,True,True,
1.969E-010,-1.002E-009,-4.357E+001,,,,True,True,
1.974E-010,-1.002E-009,-4.353E+001,,,,False,True,
1.961E-010,-1.006E-009,-4.344E+001,,,,False,True,
1.966E-010,-1.005E-009,-4.338E+001,,,,True,True,
1.970E-010,-1.005E-009,-4.332E+001,,,,True,True,
1.974E-010,-1.004E-009,-4.327E+001,,,,True,True,
1.979E-010,-1.004E-009,-4.325E+001,,,,False,True,
1.967E-010,-1.008E-009,-4.324E+001,,,,False,True,
1.971E-010,-1.007E-009,-4.323E+001,,,,False,True,
1.975E-010,-1.007E-009,-4.324E+001,,,,False,True,
1.979E-010,-1.006E-009,-4.322E+001,,,,False,True,
1.984E-010,-1.006E-009,-4.321E+001,,,,False,True,
1.972E-010,-1.010E-009,-4.318E+001,,,,False,True,
1.976E-010,-1.010E-009,-4.321E+001,,,,False,True,
1.980E-010,-1.009E-009,-4.323E+001,,,,False,True,
1.985E-010,-1.009E-009,-4.324E+001,,,,False,True,
1.989E-010,-1.008E-009,-4.326E+001,,,,False,True,
1.946E-010,-9.993E-010,-1.000E+004,,,,False,False,
1.951E-010,-9.988E-010,-1.000E+004,,,,False,False,
1.955E-010,-9.984E-010,-1.000E+004,,,,False,False,
1.959E-010,-9.979E-010,-1.000E+004,,,,False,False,
1.964E-010,-9.974E-010,-1.000E+004,,,,False,False,
1.952E-010,-1.001E-009,-4.397E+001,,,,False,False,
1.956E-010,-1.001E-009,-4.390E+001,,,,True,False,
1.960E-010,-1.000E-009,-4.383E+001,,,,True,False,
1.964E-010,-1.000E-009,-4.373E+001,,,,True,False,
1.969E-010,-9.996E-010,-4.367E+001,,,,False,False,
1.957E-010,-1.004E-009,-4.372E+001,,,,False,False,
1.961E-010,-1.003E-009,-4.367E+001,,,,True,False,
1.965E-010,-1.003E-009,-4.363E+001,,,,True,False,
1.969E-010,-1.002E-009,-4.357E+001,,,,True,False,
1.974E-010,-1.002E-009,-4.353E+001,,,,False,False,
1.962E-010,-1.006E-009,-4.344E+001,,,,False,False,
1.966E-010,-1.005E-009,-4.338E+001,,,,True,False,
1.970E-010,-1.005E-009,-4.332E+001,,,,True,False,
1.974E-010,-1.004E-009,-4.327E+001,,,,True,False,
1.979E-010,-1.004E-009,-4.325E+001,,,,False,False,
1.967E-010,-1.008E-009,-4.324E+001,,,,False,False,
1.971E-010,-1.007E-009,-4.323E+001,,,,False,False,
1.975E-010,-1.007E-009,-4.324E+001,,,,False,False,
1.979E-010,-1.006E-009,-4.322E+001,,,,False,False,
1.984E-010,-1.006E-009,-4.321E+001,,,,False,False,
1.972E-010,-1.010E-009,-4.318E+001,,,,False,False,
1.976E-010,-1.010E-009,-4.321E+001,,,,False,False,
1.980E-010,-1.009E-009,-4.323E+001,,,,False,False,
1.985E-010,-1.009E-009,-4.324E+001,,,,False,False,
1.989E-010,-1.008E-009,-4.326E+001,,,,False,False,
