Forward: Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
7.105E-015,3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
0.000E+000,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-7.105E-015,5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,True,True,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,True,True,
1.421E-014,-7.105E-015,0.000E+000,0.000E+000,-2.794E-009,0.000E+000,True,True,
7.105E-015,0.000E+000,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
-7.105E-015,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
3.553E-014,0.000E+000,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,True,
0.000E+000,-3.553E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,True,True,
-1.421E-014,1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,True,
7.105E-015,5.329E-015,0.000E+000,0.000E+000,1.863E-009,0.000E+000,False,True,
7.105E-015,1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
0.000E+000,-1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,True,
7.105E-015,5.329E-015,0.000E+000,9.313E-010,9.313E-010,0.000E+000,True,True,
7.105E-015,3.553E-015,0.000E+000,9.313E-010,9.313E-010,0.000E+000,True,True,
1.421E-014,-5.329E-015,0.000E+000,0.000E+000,1.863E-009,0.000E+000,False,True,
1.421E-014,-1.776E-015,0.000E+000,0.000E+000,1.863E-009,0.000E+000,False,True,
7.105E-015,-1.776E-015,0.000E+000,0.000E+000,1.863E-009,0.000E+000,False,True,
-1.421E-014,-1.776E-015,0.000E+000,0.000E+000,-2.794E-009,0.000E+000,False,True,
0.000E+000,5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
1.421E-014,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-1.421E-014,-5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,False,True,
1.421E-014,1.776E-015,0.000E+000,0.000E+000,2.794E-009,0.000E+000,False,True,
-1.421E-014,5.329E-015,0.000E+000,9.313E-010,-1.863E-009,0.000E+000,False,True,
-1.421E-014,1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
-7.105E-015,0.000E+000,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
-7.105E-015,-3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
-7.105E-015,5.329E-015,0.000E+000,9.313E-010,-1.863E-009,0.000E+000,True,True,
7.105E-015,0.000E+000,0.000E+000,0.000E+000,9.313E-010,0.000E+000,True,True,
-1.421E-014,-1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,True,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-1.421E-014,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,True,
7.105E-015,0.000E+000,0.000E+000,0.000E+000,9.313E-010,0.000E+000,True,True,
7.105E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,True,True,
7.105E-015,3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
7.105E-015,-5.329E-015,0.000E+000,0.000E+000,2.794E-009,0.000E+000,False,True,
0.000E+000,3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,True,True,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,True,
-1.421E-014,1.776E-015,0.000E+000,0.000E+000,-3.725E-009,0.000E+000,True,True,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
-7.105E-015,3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-7.105E-015,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
7.105E-015,-5.329E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,False,True,
7.105E-015,3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
0.000E+000,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
7.105E-015,-3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,True,
0.000E+000,-5.329E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,True,
7.105E-015,-3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,True,
-7.105E-015,-1.776E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,False,
7.105E-015,3.553E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,False,
-7.105E-015,-5.329E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,False,
0.000E+000,3.553E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
-7.105E-015,-5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
0.000E+000,-7.105E-015,0.000E+000,0.000E+000,9.313E-010,0.000E+000,False,False,
7.105E-015,-5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,True,False,
-7.105E-015,3.553E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,True,False,
-1.421E-014,5.329E-015,0.000E+000,9.313E-010,-9.313E-010,0.000E+000,True,False,
1.421E-014,7.105E-015,0.000E+000,9.313E-010,9.313E-010,0.000E+000,False,False,
1.421E-014,1.776E-015,0.000E+000,0.000E+000,2.794E-009,0.000E+000,False,False,
-7.105E-015,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,False,
-7.105E-015,-3.553E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,True,False,
2.132E-014,3.553E-015,0.000E+000,0.000E+000,3.725E-009,0.000E+000,True,False,
0.000E+000,5.329E-015,0.000E+000,9.313E-010,0.000E+000,0.000E+000,False,False,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,False,
-2.132E-014,0.000E+000,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,False,
-1.421E-014,-1.776E-015,0.000E+000,0.000E+000,-1.863E-009,0.000E+000,True,False,
-1.421E-014,-5.329E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,True,False,
7.105E-015,-1.776E-015,0.000E+000,0.000E+000,2.794E-009,0.000E+000,False,False,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,False,
-7.105E-015,5.329E-015,0.000E+000,9.313E-010,-2.794E-009,0.000E+000,False,False,
-7.105E-015,7.105E-015,0.000E+000,9.313E-010,9.313E-010,0.000E+000,False,False,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,1.863E-009,0.000E+000,False,False,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
-7.105E-015,0.000E+000,0.000E+000,0.000E+000,-9.313E-010,0.000E+000,False,False,
7.105E-015,5.329E-015,0.000E+000,9.313E-010,9.313E-010,0.000E+000,False,False,
7.105E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
-7.105E-015,1.776E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
-7.105E-015,-5.329E-015,0.000E+000,0.000E+000,0.000E+000,0.000E+000,False,False,
