Forward: Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.308E-005,-3.284E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.308E-005,-3.287E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.028E-005,2.307E-005,-3.291E-005,False,True,
-1.970E-005,-7.766E-005,-1.177E-005,-7.026E-005,2.307E-005,-3.295E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.034E-005,2.278E-005,-3.299E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.032E-005,2.278E-005,-3.302E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.279E-005,-3.306E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.278E-005,-3.310E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.279E-005,-3.314E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.034E-005,2.285E-005,-3.295E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.032E-005,2.284E-005,-3.298E-005,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.285E-005,-3.302E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.284E-005,-3.306E-005,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.285E-005,-3.310E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.290E-005,-3.291E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.032E-005,2.290E-005,-3.295E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.290E-005,-3.299E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.290E-005,-3.303E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.290E-005,-3.307E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.296E-005,-3.287E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.296E-005,-3.291E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.296E-005,-3.295E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.296E-005,-3.299E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.296E-005,-3.303E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.302E-005,-3.283E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.302E-005,-3.287E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.302E-005,-3.291E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.301E-005,-3.295E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.302E-005,-3.299E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.308E-005,-3.280E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.307E-005,-3.283E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.308E-005,-3.287E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.307E-005,-3.291E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.308E-005,-3.295E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.034E-005,2.278E-005,-3.299E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.032E-005,2.279E-005,-3.302E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.279E-005,-3.306E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.278E-005,-3.310E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.279E-005,-3.314E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.285E-005,-3.295E-005,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.032E-005,2.284E-005,-3.299E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.284E-005,-3.302E-005,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.284E-005,-3.306E-005,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.285E-005,-3.310E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.290E-005,-3.291E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.032E-005,2.290E-005,-3.295E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.290E-005,-3.299E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.290E-005,-3.303E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.290E-005,-3.307E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.296E-005,-3.287E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.296E-005,-3.291E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.296E-005,-3.295E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.296E-005,-3.299E-005,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.296E-005,-3.303E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.302E-005,-3.283E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.302E-005,-3.287E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.302E-005,-3.291E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.301E-005,-3.295E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.302E-005,-3.299E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.307E-005,-3.279E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.307E-005,-3.283E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.308E-005,-3.287E-005,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,-7.027E-005,2.307E-005,-3.291E-005,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.307E-005,-3.295E-005,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,-7.034E-005,2.278E-005,-3.298E-005,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.032E-005,2.279E-005,-3.302E-005,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.279E-005,-3.306E-005,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.278E-005,-3.310E-005,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.279E-005,-3.314E-005,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.285E-005,-3.295E-005,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,-7.032E-005,2.284E-005,-3.298E-005,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.284E-005,-3.303E-005,True,False,
-1.971E-005,-7.767E-005,-1.175E-005,-7.028E-005,2.285E-005,-3.306E-005,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.285E-005,-3.310E-005,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.290E-005,-3.291E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.290E-005,-3.295E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.030E-005,2.290E-005,-3.299E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.290E-005,-3.303E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.290E-005,-3.307E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.296E-005,-3.287E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.296E-005,-3.291E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.029E-005,2.296E-005,-3.295E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.296E-005,-3.299E-005,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.296E-005,-3.303E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.302E-005,-3.283E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.302E-005,-3.287E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.302E-005,-3.291E-005,False,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.028E-005,2.301E-005,-3.295E-005,False,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.026E-005,2.301E-005,-3.299E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.033E-005,2.308E-005,-3.280E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.031E-005,2.307E-005,-3.283E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.029E-005,2.308E-005,-3.287E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.027E-005,2.307E-005,-3.291E-005,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,-7.026E-005,2.307E-005,-3.295E-005,False,False,
